phrases,concepts
diahrea during lab,during
several flags,several
high normal levels,high
lymph values,lymph
low bun,low
creatinine levels,creatinine levels
ebv antibodies,ebv
past infection,past infection
extreme difficulty,extreme difficulty
whole week,whole
whole week in september,whole
week in september,week
previous neck,previous
previous neck injury,previous
neck injury,neck injury
immediate cause,immediate
several abnormalities,several
high platelets,high
low red blood,low
low red blood cells,low
low monocytes,low
instances of strange discoloration,discoloration
strange discoloration,discoloration
bruising under the eyes,bruising
alpha gal,alpha
slew of others,others
cause for several reasons,cause
several reasons,several
worms over the summer,over
outdoorsy family,family
wild fish,wild
expensive effort,effort
lot of blank,lot
lot of blank stares,lot
blank stares,blank
eye rolls,eye
parasitical infections,infections
few friends,few
human eye,human
stage of development,stage
only course,only
only course of treatment,only
course of treatment,course
shot of ivermectin,shot
dr tomorrow,tomorrow
dr tomorrow for a shot,tomorrow
tomorrow for a shot,tomorrow
face bc,face
ugly open ulcers,open
open ulcers,open
sex with a woman,sex
sex with a woman from south,sex
sex with a woman from south east,sex
sex with a woman from south east asia,sex
woman from south,woman
woman from south east,woman
woman from south east asia,woman
south east,south
south east asia,south east asia
east asia,east asia
urethritis symptoms,urethritis
day doxycycline,day
day doxycycline regiment,day
doxycycline regiment,doxycycline
1x metronidazol,metronidazol
day metronidazol,day
day metronidazol treatment,day
metronidazol treatment,metronidazol
kind of new undiscovered std,kind
new undiscovered std,new
undiscovered std,std
types of symptoms,types
persistent rash,persistent
walk in clinic,walk
steroidal cream,cream
syphilis causes,syphilis
years after the fact,years
mm parasite,parasite
g.i. symptoms,symptoms
only time,only
rest of the day,rest
stool samples,stool
stool samples on separate occasions,stool
samples on separate occasions,separate
separate occasions,separate
gluten intolerance,gluten intolerance
breath test,breath test
breath test for sibo,breath test
test for sibo,test
blurry picture,picture
undigested food,undigested food
small white worm,small white
white worm,white
type of parasitic infection,type
internal infections,internal
worry to the doctors,worry
physical decline,physical
extreme zen,extreme
term iv,term
term iv home,term
term iv home care,term
iv home,home
iv home care,home care
home care,home care
year period,year
parasitic concern,parasitic
tight study,tight
tight study of the situation,tight
tight study of the situation from photo,tight
study of the situation,study
study of the situation from photo,study
study of the situation from photo to specimen,study
situation from photo,from
situation from photo to specimen,from
photo to specimen,specimen
infectious disease standards,infectious disease
disease standards,disease
weeks late dec,weeks
weeks late dec into early jan,weeks
late dec,late
late dec into early jan,late
dec into early jan,dec
early jan,early
particular parasites,parasites
family doctor from birth,family
doctor from birth,doctor
type of worm,type
name of the virus,name
original reason,original
doctors appointment,doctors
doctors appointment in the first place,doctors
appointment in the first place,appointment
referral to a specialist ear,referral to a specialist
specialist ear,specialist
nose doctor,nose
right side head,right side
side head,side head
inflammation thats,inflammation
jaw joint structure,jaw joint
joint structure,joint structure
year in a half,year
big tickling,big
current taste,current
current taste of blood,current
taste of blood,taste
chewing on mire,chewing
wax folks,wax
many doctors over the past years,many
doctors over the past years,doctors
past years,past
parasitical doctors,doctors
things from medication,from
things from medication like mobendazol,from
medication like mobendazol,medication
albendazol to diatomosis earth,albendazol
albendazol to diatomosis earth to black walnut,albendazol
diatomosis earth,earth
diatomosis earth to black walnut,earth
earth to black walnut,earth
black walnut,black walnut
steady gradual amounts,steady
steady gradual amounts of a.k.a.,steady
gradual amounts,gradual
gradual amounts of a.k.a.,gradual
amounts of a.k.a.,amounts
blood type,blood type
blood type for the pain,blood type
type for the pain,type
inflammation onset,inflammation
black plague,black plague
black plague nightmare,black plague
plague nightmare,plague
point of desperation,point
actual help,actual
free health,free
free health care,free
ass oops,ass
few days on the 18th,few
days on the 18th,days
doctor appointments,doctor
sort of methamphetamine,sort
sort of methamphetamine addict,sort
methamphetamine addict,methamphetamine
sort of mental patient,sort
mental patient,mental patient
right eye,right eye
brown recluse spider,brown recluse spider
brown recluse spider bite,brown recluse spider bite
recluse spider,spider
recluse spider bite,spider bite
spider bite,spider bite
fog of some sort,fog
debilitating migraines,migraines
skull on the right side,skull
eyes with light,eyes
dark times,times
unexplained reason,unexplained
help hellp,help
help hellp syndrome,help
hellp syndrome,hellp syndrome
women in the us,women
women in the us per year,women
us per year,per year
parasitism infection,parasitism
likely reason,likely
eardrum rupture,eardrum rupture
eardrum rupture for no good reason,eardrum rupture
rupture for no good reason,rupture
good reason,good
weird bouts,bouts
bad acne,bad
bad acne at times,bad
acne at times,acne
cellulitis of some sort,cellulitis
lower jaw,lower jaw
different times on both sides,different
times on both sides,times
visible cavaties,visible
visible cavaties at the time,visible
cavaties at the time,time
dental assistant,dental assistant
years for gods,years
years for gods sake,years
gods sake,gods
eye teeth,eye
big chip,big
front at the top,front
dental field,dental
best feature,best
weird dark discolorations,discolorations
dark discolorations,discolorations
pair of shorts,pair
pair of shorts in public,pair
shorts in public,shorts
meth addict,meth
way by people,people
red light,red light
red light in the town,red light
red light in the town im,red light
light in the town,light
light in the town im,light
town im,town
small im,small
outer appearance,outer
single mom,single
old little girl,old
little girl,little
good druggie,good
former bosses,former
whole experience,whole
many different doses,many
many different doses of oral antibiotics,many
different doses,different
different doses of oral antibiotics,different
doses of oral antibiotics,doses
oral antibiotics,oral
parasitic medication,parasitic
full dose,full
full dose of albenzadole,full
dose of albenzadole,dose
full dose of mebenzadole,full
dose of mebenzadole,dose
frw moths,moths
full dose of ivermectin,full
dose of ivermectin,dose
several samples,several
diagnosis of parasitism,diagnosis
medicine for anxiety,medicine
insect bites,insect bites
extensive dental damage,extensive
dental damage,dental
debilitating brain,brain
debilitating brain fog,brain
extreme exhaustion,extreme exhaustion
sort of quality,sort
sort of quality of life,sort
topics of worms under the skin,under
worms under the skin,under
roots of a tree,roots
teeth gums,teeth
right person,right
times in the pics,times
small improvements,small
symptoms of worms,symptoms
horrible feeling,feeling
horrible feeling of movement,feeling
feeling of movement,feeling
subsequent stool,subsequent
subsequent stool samples,subsequent
antifungal drugs,antifungal drugs
cut off point,cut
system of these antifungal drugs,system
gastro symptoms,gastro
first stool,first
first stool test,first
bloating in the belly,bloating
small oval,small
small oval off -white,small
small oval off -white objects,small
small oval off -white objects like rice,small
small oval off -white objects like rice grains,small
oval off -white,oval
oval off -white objects,oval
oval off -white objects like rice,oval
oval off -white objects like rice grains,oval
-white objects,white
-white objects like rice,white
-white objects like rice grains,white
objects like rice,objects
objects like rice grains,objects
rice grains,rice
cone-like shapes,cone
cone-like shapes with a little strand,cone
cone-like shapes with a little strand of hair,cone
shapes with a little strand,shapes
shapes with a little strand of hair,shapes
little strand,little
little strand of hair,little
little strand of hair on the end,little
strand of hair,strand
strand of hair on the end,strand
hair on the end,hair
