concepts|phrases
Cramp in lower limb|severe leg cramps
Numbness of lower limb|numbness in ankles and toes
Norvasc|norvasc
Lipitor|lipitor
Phlebitis|phlebitis
ezetimibe|zetia
Lipitor|lipitor
ezetimibe|zetia
Tight chest|chest tightness
Headache|headache
Arthralgia|Joint pain
Myalgia|muscle ache
Fatigue|fatigue
Arthralgia|joint pain
Myalgia|muscle aching
Fatigue|fatigue
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|muscle pain
Weakness of limb|weakness in both arms
Pain|ache
Lipitor|lipitor
Impaired cognition|cognitive ability
Has delayed recall|recall was slower
Unable to think clearly|not be able to process thoughts
Mentally dull|not as smart as I use to be
Severe pain|severe pain in hips
Severe pain|severe pain in legs
Severe pain|severe pain in feet
Severe pain|severe pain in back
Unable to walk|Unable to walk or stand
Lipitor|Lipitor
Lipitor|Lipitor
Weakness of limb|muscle weakness in plantar muscle
Muscle weakness|muscle weakness in back
Weakness of limb|muscle weakness in ankle
Lipitor|lipitor
Fibromyalgia|fibromyalgia
Lipitor|lipitor
Increased cholesterol esters|high cholesterol
Depression|Depression
Anxiety|anxiety
Unable to concentrate|lack of concentration
Insomnia|insomnia
Zoloft|zoloft
Major depressive disorder|major depression
Lipitor|lipitor
Depression|Depression
Anxiety|anxiety
Unable to concentrate|lack of concentration
Insomnia|insomnia
Major depressive disorder|major depression
Zoloft|zoloft
Depression|depression
Zoloft|zoloft
Lipitor|Lipitor
Lipitor|lipitor
Lipitor|lipitor
Depression|depression
Myalgia|muscle pain
Arthralgia|joint pain
Dyspnoea|Shortness of breath
Fatigue|fatigue
Myalgia|muscle soreness
Numbness of upper limb|numbness in arms
Headache|constant headaches
Poor short-term memory|short-term memory loss
Influenza-like illness|flu-like symptoms
Dyspnoea|shortness of breath
Myalgia|muscle soreness
Headache|headaches
Generalised acute body pains|feel like I got hit by a truck
Myalgia|muscle pain
Pain|Aches
Pain|pains
Morning stiffness - joint|stiff upon waking
Hand pain|hands hurt
Unable to make a fist|can't make a fist
Asthenia|Weakness
Pain|Pain
Arthritis|arthritis
Inflammatory disorder|inflamation
Pain|pain
Fosamax|Fosamax 35
Myalgia|muscle soreness
Weight gain|weight gain
Weight gain|weight gain
Dizziness|DIZZY
Random blood sugar raised|HIGHER BLOOD SUGARS
Carpal tunnel syndrome|CARPAL TUNNAL
Muscle cramp|CRAMPS
Arthralgia|JOINT PAIN
Amnesia|MEMORY LOSS
Kidney disease|KIDNEY PROBLEMS
Zocor|ZOCOR
Lipitor|LIPITOR
Impairment of balance|BALANCE PROBLEMS
Impairment of balance|BALANCE PROBLEMS
Arthralgia|JOINT PAIN
Lipitor|LIPITOR
Heart disease|HEART DISEASE
Lipitor|LIPITOR
gemfibrozil|GEMFIBROSIL
Type II diabetes mellitus uncontrolled|TYPE II DIABETES BECAME UNCONTROLLED
Renal impairment|KIDNEY READINGS BECAME BAD
Arthralgia|JOINT PAIN
Neuropathy|NEUROPATHY
Hand pain|PAIN IN MY HANDS
Carpal tunnel syndrome|CARPAL TUNNAL
Walking disability|COULD NOT WALK WITHOUT FALLING
Asthenia|DEBILITATED
Lipitor|LIPITOR
Renal impairment|KIDNEY READINGS BECAME SO HIGH
Fatigue|fatigue
Sinusitis|sinus colds
Pain|pressure pain
Unable to walk|cant walk
Nausea|Nausea
Lipitor|Lipitor
Chest pain|chest pain
Pain|pain
Lipitor|Lipitor
Myocardial infarction|heart attact
Headache|head aches
Myalgia|muscels hurts
Asthenia|week
Upset stomach|sick at stomach
Tired|tired all the time
Myalgia|Muscle Pain
Knee pain|knee pain
Neck pain|neck pain
Dizziness|dizziness
Mentally vague|vagueness
Dry eyes|dry eyes
Myalgia|muscle pain
Excessive upper gastrointestinal gas|general degradation
Rheumatoid arthritis|Rhuematoid Arthritis
Arthritis|arthritis
Inflammatory disorder|inflamation
prednisone|Prednisone
Enbrel|Enbrel injections
Lipitor|Lipitor
Pain in upper limb|aching pain in my arms
Difficulty sleeping|could not sleep well
Muscle weakness|lost all the strength in my muscles
Fatigue|fatigued
Arthritis|arthritis
Pain|pain
prednisone|Prednisone
Difficulty lifting|could hardly lift a glass
Weakness of limb|weak in my arms and hands
Lipitor|Lipitor
Lipitor|Lipitor
Serum creatinine raised|elevated CPK
Lipitor|Lipitor
Serum creatinine raised|CPK elevated
Lipitor|lipitor
Zocor|Zocor
Depression|Depression
Myalgia|muscle pain
Night sweats|night sweats
Unable to concentrate|lack of concentration
Dry skin|SUPER dry skin
Amyotrophic lateral sclerosis|ALS
Multiple sclerosis|MS
Lupus erythematosus|Lupus
Lyme disease|Lyme Disease
Fibromyalgia|Fibromyalgia
Hypochondriasis|Hyprochondria
Pain|hurt
Pain|pain
Severe pain|Severe muscle pain
Severe pain|Severe knee pain
Backache|back pain
Lipitor|Lipitor
Myalgia|muscle pain
Severe pain|severe pain
Myocardial infarction|heart attack
Pain|pain
Fatigue|very fatigued
Drowsy|sleepy
Craving for food or drink|food cravings
Stomach cramps|sporadic lower abdominal cramping
Excessive upper gastrointestinal gas|gas
Thigh pain|thigh soreness
Decreased cholesterol esters|good cholesterol is whacked, lowered
Shoulder pain|shoulder pain
Myalgia|muscle pain
Pain|pain
Shoulder pain|shoulder pain
Limping|significant limp
Lipitor|Lipitor
Pain|pain
Myocardial infarction|heart-attack
Ankle stiff|ankles seized up
Foot joint stiff|feet seized up
Wrist stiff|wrists seized up
Knee stiff|knees seized up
Lipitor|Lipitor
Shuffling gait|shuffle when I walk
Weakness of hand|hands were nowhere near as strong as they once were
Hyperaesthesia|senistivity in scalp
Hyperaesthesia|senistivity in the palms and soles of my feet
Pins and needles|tingling
Sensitivity|sensitivity
Heavy feeling|feet felt like led
Ankle pain|ankles started aching
Muscle fatigue|over-streesed muscles
Weakness of limb|dibilitating problem with both of my arms
Pain|pain
Lipitor|Lipior
Lipitor|Lipitor
Lipitor|Lipitor
Liver disease|Live damage
Excessive upper gastrointestinal gas|gas
Urine looks dark|darkness in urine
Myocardial infarction|heart attack
Lipitor|Lipitor
Foot pain|feet hurt
Arthralgia|Joint Pain
Walking disability|can hardly walk
Stiff legs|Stiffness in Leg Joint
Stiff legs|Stiffness in my feet
Pain|pain
Numbness of hand|numbness in my hands
Dislocation of joint|dislocating
Muscle weakness|Weak muscles
Fatigue|fatigued
Increased creatine kinase level|high pck level
Liver enzymes abnormal|high liver enzyme
Cramp in lower limb|leg cramps
Tendonitis|flared up tendenitis
Lipitor|lipitor
Arthralgia|Very sore and achy joints
Headache|Mild headache
Mentally dull|foggy
Muscle cramp|muscle cramps
Muscle cramp|Muscle spasms
Spasm|spasms
Muscle twitch|muscles quivering
Restlessness|restless
Difficulty sleeping|hard to sleep
Lipitor|Lipitor
Muscle cramp|muscle cramps
Spasm|spasms
Arthralgia|joint pain
Urinary tract infection|severe urinary tract infections
Infection|severe infections
Lipitor|Lipitor
Infection|infections
Constipation|constipation
Flatulence/wind|flatulence
Lipitor|Lipitor
Haemorrhoids|hemorrhoids
Constipation|constipation
Lipitor|Lipitor
Rash|rash
Myopathy|muscle problems legs
Neck pain|tremendous neck pain
Headache|severe headaches
Lipitor|Lipitor
Rash|rash
Haemorrhoids|hemorrhoids
Weakness of limb|weakness in my legs
Severe pain|Severe back pains
Neck pain|neck pains
Headache|severe headaches
Poor short-term memory|short term memory issues
Menopause present|menopause
Myalgia|muscle pain
Weakness of limb|weakness in arms
Weakness of limb|weakness in legs
Amnesia|memory loss
Myopathy|permanent muscle damage
Amnesia|memory loss
Lipitor|Lipitor
Headache|headache
Myalgia|muscle ache
Diarrhoea|diarrhea
Indigestion|indigestion
Abdominal pain|abdominal pain
Backache|back pain
Visual disturbance|eyesight has changed
Nasal sinus problem|sinus problems
Arthralgia|joint pain
Cramp in lower limb|leg cramps
Arthralgia|joint pain
Ankle pain|muscle in my angles hurt
Ankle joint pain|joints in my angles hurt
Unable to walk|cant walk
Arthritis|artritic
codeine|codine
Pain|pain
Arthritis|arthrites
Foot pain|Very Painful feet
Pain in lower limb|lower legs hurt
Walking disability|hardly walk
Pain|pain
Lipitor|Lipitor
ezetimibe|zetia
ezetimibe + simvastatin|vytorin
Myocardial infarction|Heart attack
Backache|very painful muscle aches back
Myalgia|very painful muscle aches in the neck
Knee pain|pain in my knee
Headache|severe headaches
Myalgia/myositis - lower leg|pain in leg muscles
Lipitor|lipitor
Fibromyalgia|fibromyalgia
Intracranial tumour|brain tumor
Myalgia|muscle pain
Hypertonia|tightening of neck muscles
Headache|headaches
Headache|headache
Lipitor 40 mg tablet: film-coated|Lipitor 40mg
Abdominal pain|TERRIBLE abdominal pain
Dyspnoea|shortness of breath
Severe pain|EXTREME muscle pains
Lipitor|lipitor
Tiredness symptom|Tiredness
Mentally dull|Brain fog
Tiredness symptom|tiredness
Arthralgia|joints aching
Lipitor|Lipitor
pravastatin|Pravastatin
Lipitor|Lipitor
Severe pain|Severe pain in right heel
Cramp in lower limb|Muscle cramping in leg
Unable to walk|inablity to walk
Pain|pain
Pain|pain
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Dizziness|dizzy
Vertigo|vertigo
Unable to balance|un-balanced-type feeling
Frequent defaecation|frequent bowel movements
Arthritis of knee|arthritic knees
Numbness of hand|hands numb
Paraesthesia of hand|hands tingling
Numbness of limbs|arms are always falling asleep
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Zocor|Zocor
Crestor|Crestor
Pravachol|Pravachol
Lescol|Lescol
ezetimibe + simvastatin|Vytorin
Confusion|memory confusion
Amnesia|memory loss
Myalgia|muscle aches
Pain|pain
Myalgia|muscular aches and pains
Arthralgia|joint discomfort
Heavy feeling|heaviness
Fatigue|fatigue
Weight gain|weight gain
Depression|depression
Menopause present|menopause
Epigastric discomfort|upper abdominal discomfort
Crestor|Crestor
Arthralgia of multiple joints|severe polyathralgia in leg joints
Arthralgia of multiple joints|severe polyathralgia in ankles
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitors
Heart disease|Heart desease
Diabetes mellitus|diabetes
Hypertension|high blood pressure
Lipitor|Lipitor
Pravachol|Provachol
Abdominal bloating|extreme bloating
Tachycardia|increase my heart rate
Difficulty sleeping|could not sleep well
Lipitor|Lipitor
Lipitor|Lipitor
Bloating symptom|bloating
Excessive upper gastrointestinal gas|gas
Bloating symptom|bloating
Drowsy|drowsy
Difficulty sleeping|sleep is not very sound
Neck pain|pain neck
Tendonitis|tendonitis
B Complex (Cenovis)|B complex
ubidecarenone|CoQ10
Bloating symptom|bloating
Excessive upper gastrointestinal gas|gas
Pain|pain
Bloating symptom|bloating
Excessive upper gastrointestinal gas|gas
Upset stomach|stomach upsets
Lipitor|Lipitor
Foot pain|pain on the sole of my feet
Unable to stand|dificult to stand or walk for too long
Tenderness of upper limb|Hands tender
Paraesthesia of hand|Hands tingle
Forgetful|forgetful
Tired|tired
Reduced libido|Lack libido
Feels hot|feel hot
Photosensitisation due to sun|sensitive to sunlight
Lipitor|Lipitor
Headache|head hurting
Confusion|very confused
Exhaustion|exhausted
Hypersomnia|falling asleep all the time
Heavy legs|legs always feeling like lead
Constant pain|constant pain shoulders
Constant pain|constant pain knees
Generalised aches and pains|whole body hurts
Parkinson's disease|Parkinsons
Lipitor|Lipitor
Lipitor|Lipitor
Pain|pain
Fatigue|fatigue
Myopathy|muscle problems
Generalised aches and pains|Aching over my entire body
Asthenia|extreme fatigue
Stiffness|stiffness
Severe depression|severe depression
Cramp in lower limb|LEG CRAMPS
Unable to walk|UNABLE TO WALK
Vertigo|VERTIGO
Disorder of muscle|NECK MUSCEL PROBLEMS
Fatigue|EXTREME TIREDNESS
Impairment level of vision|PARTIAL LOSS OF SIGHT
Vertigo|VERTIGO
Lack of libido|SEX DRIVE GONE
Loss of hair|LOSS OF HAIR
Myalgia|MUSCEL PAIN
ubidecarenone|C Q10
Pain|PAIN
Vertigo|VERTIGO
Muscle cramp|CRAMPS
Constant pain|Intense and constant pain in arms
Constant pain|Intense and constant pain in legs
Pain in lower limb|Legs painful to the touch
Tired all the time|tired all the time
Cannot sleep at all|couldn't sleep
Reduced libido|loss of sexual desire
Lupus erythematosus|Lupus
Lipitor|Lipitor
Pain in lower limb|leg pain
soy lecithin|lecithin granules
Muscle weakness|muscle weakness
Asthenia|extreme fatigue
Insomnia|can't sleep
Myalgia|muscle aches and pain
Arthralgia|joint pain very arthritic
Muscle cramp|muscle cramps
Arthralgia|joint pains
Numbness|numbness
Myocardial infarction|heart attacks
Myopathy|muscle problems
Myopathy|damaging your muscles
Arthritis of hip|severe arthritis symptoms in hip joints
Arthritis of knee|severe arthritis symptoms in knees
Muscle cramp|muscle cramps
Raised low density lipoprotein cholesterol|high LDL
Overweight|over weight
Myocardial infarction|heart attack
Lexapro|Lexapro
Lipitor|LIPITOR
Lipitor|Lipitor
Myalgia|MUSCLES ACHED
Arthralgia|JOINTS HURT
Extreme exhaustion|EXTREME EXHAUSTION
Lipitor|LIPITOR
Lexapro|Lexapro
Lipitor|Lipitor
Hypochondriasis|hypochondriac
Lexapro|Lexapro
Dizziness|intense dizziness
Chill|intense chills and shivers
Asthenia|lassitude
Pain in calf|calf pains
Pain in calf|calf pains
Abnormal gait|walk a little funny
Lipitor|Lipitor
Hip pain|hip hurt
Pain|pain
Pravachol|Pravachol
Lipitor|Lipitor
Productive cough|productive cough
Cough|cough
Backache|back pain
Myalgia|aching muscles
Arthralgia|aching joints
Flatulence/wind|flatulence
Flatulence/wind|wind
Loss of hair|hair loss
Myocardial infarction|heart attack
Cerebrovascular accident|stroke
Zocor|zocor
Lipitor|lipitor
Lipitor|lipitor
Coronary arteriosclerosis|blockage of the LAD
Bell's palsy|Bell's palsy
Bell's palsy|Bell's
Bell's palsy|Bell's
Lipitor|lipitor
Myalgia|muscle pain
Liver disease|liver problems
Lipitor|lipitor
Bell's palsy|Bell's palsy
Muscle cramp|night muscle cramps
Muscle cramp|muscle cramps
Hearing loss|Deafness
Myalgia|muscle pain
Chronic rhinitis|chronic rhinitus
Upper respiratory tract infection|upper respiratory infections
Poor short-term memory|short term memory loss
Tendonitis|tendonitis
Fatigue|fatigue
Flatulence/wind|flatulance
Stomach ache|stomach discomfort
Abdominal colic|abdominal cramps
Amnesia|Memory loss
Unable to concentrate|ability to concentrate
Crestor|Crestor
Myalgia|muscle pain
Lipitor|Lipitor
Amnesia|memory loss
Unable to concentrate|ability to concentrate
Myalgia/myositis - shoulder|Shoulder muscle pain
Neck pain|neck muscle pain
Joint tenderness|tender joints
Pain in wrist|wrist pain
Mentally dull|fogginess
Depression|depression
Insomnia|insomnia
Lipitor|Lipitor
Myalgia|muscle pain
Amnesia|memory loss
Difficulty sleeping|trouble sleeping
Insomnia|insomnia
Crestor|Crestor
Pravachol|Pravichol
Myalgia|muscle pain
Arthralgia|joint pain
Asthenia|weakness
Exhaustion|exhaustion
Ulceration of gingivae|gum ulcerations
Loss of hair|hair loss
Pain in lower limb|pain in legs
Pain in upper limb|pain in arms
Stiffness|stiffness
Pins and needles|tingling extremities
Contusion|bruising
Insomnia|insomnia
Myalgia|Mild muscle pain
Burning sensation|burning
fenofibrate|Tricor
Lipitor|Lipitor
fenofibrate|Tricor
fenofibrate|tricor
fenofibrate|tricor
Severe pain|severe muscle pain
Burning sensation|burning
Muscle cramp|cramps
Exhaustion|exhaustion
Nausea|mild nausea
Unable to concentrate|inability to concentrate
Neck pain|MUSCLE PAIN IN NECK
Hip pain|MUSCLE PAIN IN HIP
Myalgia/myositis - shoulder|MUSCLE PAIN IN SHOULDERS
Lipitor|liptor
Muscle cramp|severe muscle spasms in my legs
Unable to walk|unable to walk
Pain|pain
Lipitor|lipitor
Lipitor|lipitor
Myalgia|muscle pain
Muscle cramp|muscle spasms
Lipitor|lipitor
atorvastatin|Atorvastatin
Hypothyroidism|hypothyroidism
Hypothyroidism|hypothyroidism
Myalgia|muscle aches
Pins and needles|tingling in arm and hand
Shoulder pain|sore shoulder
Fatigue|fatigue
Difficulty sleeping|poor sleep
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|lipitor
Lipitor|lipitor
Myalgia|pain in muscles
Fatigue|severe fatigue
Pravachol|Pravachol
Pain|pains
Fatigue|fatigue
Myalgia|Severe myalgia
Lipitor|Lipitor
Myositis|muscle inflammation
Musculoskeletal pain|connective tissue pain
Rheumatoid arthritis|rheumatoid arthritis
Fibromyalgia|fibromyalgia
Rheumatoid arthritis|rheumatoid arthritis
Lipitor|Lipitor
Pravachol|Pravochol
fish oil natural|fish oil
Disorder of extremity|severe legs problems
Myalgia|muscle aches
Asthenia|weakness
Stiffness|stiffness
Hand cramps|cramps in hands
Cramp in foot|cramps in my feet
Chest pain|pain in chest
Pain in upper limb|pain in my arms
Memory impairment|memory problems
Visual disturbance|vision problems
Lightheadedness|lightheadedness
Pins and needles|tingling in the scalp
Visual disturbance|visual deficits
Diplopia|double vision
Blurred vision - hazy|blurriness
Lightheadedness|lightheadedness
Malignant neoplastic disease|tumor
Myalgia|muscle pains
Fatigue|extreme tiredness
Feeling irritable|irritability
Bizarre dreams|weird dreams
Restless legs|restless leg syndrome
Loss of hair|hair loss
Loss of motivation|lack of enthusiasm
Serum creatinine raised|elevated Creatinine
Increased albumin|elevated urine albumin
C-reactive protein abnormal|elevated CRP
Random blood sugar raised|increased blood glucose
Memory impairment|memory lapses
Weight increased|belly weight gain
ubidecarenone|CoQ10
Muscle atrophy|losing muscle
